PARTITION_DATE,ACCESS_ID,COLLECTION_DATE,ONT_VENDOR,ONT_MODEL,ONT_VERSION,ONT_SERIAL_NUMBER,ONT_VERSION_HW,ONT_UP_TIME,TX_POWER_DS,RX_POWER_DS,TX_POWER_US,RX_POWER_US,ONT_STATE,OLT_STATE,ONT_TEMPERATURE,ONT_CURRENT,ONT_VOLTAGE,ATENUACION_DS,ATENUACION_US,LONG_BUCLE
2023-12-27,1104398534,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC32FC414A,GPT-2541GNAC,0 dias 0 horas 0 minutos,5.5,-2.25,2.9,-19.5,IS,IS,49.0,16.0,3.3,5.15,25.0,5400.0
2023-12-27,1104675971,2023-12-27 08:01:25,ASKY,RTF8225VW,R8225VWTEF004,ASKY00730A5D,RTF8225VW,0 dias 0 horas 0 minutos,5.1,-1.85,2.8,-17.2,IS,IS,43.0,14.0,3.2,4.65,22.3,1900.0
2023-12-27,1103094885,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY003F0DD6,3505VW,0 dias 0 horas 0 minutos,3.7,-2.2,2.0,-22.1,IS,IS,54.0,22.0,3.3,4.2,25.8,1100.0
2023-12-27,1094154613,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY0058C0FE,RTF8115VW,0 dias 0 horas 0 minutos,5.0,-2.52,2.6,-21.1,IS,IS,45.0,14.0,3.3,5.12,26.1,4100.0
2023-12-27,1093434893,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC38EC46CF,GPT-2541GNAC,0 dias 0 horas 0 minutos,5.5,-2.08,2.4,-16.6,IS,IS,48.0,18.0,3.3,4.48,22.1,6100.0
2023-12-27,1093420239,2023-12-27 08:01:25,MSTC,GPT-2741GNAC,110XGF0b1,MSTC0F35527F,GPT-2741GNAC,0 dias 0 horas 0 minutos,3.6,,2.4,-19.8,IS,IS,,15.0,3.3,,23.4,2300.0
2023-12-27,1093568935,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY0057F064,RTF8115VW,0 dias 0 horas 0 minutos,3.1,-2.25,2.5,-21.4,IS,IS,34.0,15.0,3.3,4.75,24.5,3400.0
2023-12-27,1094281166,2023-12-27 08:01:25,ASKY,3505VW,R3505VWCL203,ASKY0024D728,3505VW,0 dias 0 horas 0 minutos,3.7,-2.55,1.9,-23.6,IS,IS,49.0,21.0,3.2,4.45,27.3,5300.0
2023-12-27,1104429109,2023-12-27 08:01:25,MSTC,GPT-2841GX4X5,100XNQ0b1,MSTC8CACD7A2,GPT-2841GX4X5,0 dias 0 horas 0 minutos,3.9,-2.74,2.8,-22.8,IS,IS,77.0,20.0,3.3,5.54,26.7,4200.0
2023-12-27,1094481331,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC32FB1B2E,GPT-2541GNAC,0 dias 0 horas 0 minutos,3.3,-1.95,3.1,-19.0,IS,IS,47.0,11.0,3.3,5.05,22.3,2400.0
2023-12-27,1094248583,2023-12-27 08:01:25,MSTC,MSTCK00BRA0915-0083,100VNP0b6,MSTC3B8C8743,GPT-2541GNAC,0 dias 0 horas 0 minutos,3.5,-1.9,2.6,-18.4,IS,IS,45.0,15.0,3.3,4.5,21.9,2200.0
2023-12-27,1104325962,2023-12-27 08:01:25,ASKY,RTF8115VW,R8115VWTEF001,ASKY00477307,RTF8115VW,0 dias 0 horas 0 minutos,3.6,-2.17,1.7,-19.8,IS,IS,40.0,12.0,3.3,3.87,23.4,6000.0
